"","default","month","age","amount","address","employer","children","payfreq","marstat","home"
"321",1,6,45,NA,5.3,18.7,2,3,2,1
"322",0,18,42,1200,12.1,1.7,1,3,2,1
"323",0,21,29,1500,3.3,2.2,0,3,3,1
"324",0,23,23,2000,0.3,0.5,0,3,2,1
"325",0,24,42,2000,17.4,11.4,3,3,1,1
"326",1,12,78,500,3.3,13,0,3,2,1
"327",0,22,38,1500,16,0.5,1,1,2,1
"328",0,18,33,1400,1.7,7.4,3,1,2,2
"329",0,21,40,NA,8.6,2.8,0,1,2,1
"330",0,23,25,4500,0.4,3.2,0,3,2,2
"331",0,24,39,500,6.2,6.2,2,3,2,1
"332",0,24,35,1000,0.6,1.2,3,1,2,1
"333",0,24,27,2000,13.2,3.7,0,3,1,2
"334",0,19,44,2000,10.4,18.6,0,3,1,1
"335",1,15,20,1000,9,4.3,0,3,1,2
"336",0,24,27,NA,0.1,0.2,0,1,1,1
"337",0,24,25,2000,10,2.1,0,1,1,2
"338",0,24,40,2000,9.1,22.2,2,3,2,1
"339",0,23,51,NA,22.5,14.4,0,2,2,2
"340",0,20,26,1500,26.1,2.7,0,3,1,2
"341",0,24,34,2000,0.1,0.5,1,1,2,2
"342",1,6,33,2800,2.7,2.6,1,1,2,1
"343",1,8,34,2100,6.7,9.8,2,3,2,1
"344",0,24,36,3000,0.4,7.7,0,3,2,1
"345",0,23,36,2000,4.1,NA,0,3,2,1
"346",0,23,53,3000,12.8,13.8,2,3,3,1
"347",0,18,56,7000,13.8,5.3,1,1,4,1
"348",0,24,33,3000,22.8,17.4,0,1,1,2
"349",0,12,57,2000,26.3,6.9,0,1,2,2
"350",0,18,36,6000,6.9,1.4,1,3,4,1
"351",0,24,55,2000,14.1,14.4,0,2,2,1
"352",0,23,34,2000,2,5.5,0,3,3,1
"353",1,4,36,NA,5,0.1,0,3,2,1
"354",0,24,26,3500,3.8,NA,2,3,2,1
"355",0,23,26,2500,2.1,5.7,0,1,2,1
"356",0,24,20,2500,8.5,1.4,0,1,1,2
"357",0,24,51,1500,29.6,34.5,1,1,2,1
"358",0,24,31,1200,0.7,5.2,0,3,3,1
"359",0,24,50,1700,28.1,24.1,0,2,2,2
"360",0,17,58,1500,0.7,19.9,0,3,4,2
"361",0,23,62,1000,25.1,9.4,0,3,2,2
"362",0,18,33,2500,5.9,5.6,2,3,3,2
"363",0,23,40,1600,5.1,19.4,0,3,1,1
"364",0,21,22,1500,2.4,3.3,0,1,1,2
"365",0,23,42,5000,12.7,1.7,3,3,2,1
"366",0,24,63,NA,14.7,14.6,0,3,2,1
"367",0,24,57,5000,26.1,NA,0,3,2,1
"368",0,23,32,1500,2.3,1.9,0,3,2,1
"369",0,22,24,NA,12.3,NA,0,1,1,2
"370",0,23,44,3000,0.2,28.7,2,3,2,1
"371",0,24,26,3000,2.7,7.9,0,1,2,1
"372",0,24,25,500,1.1,1.1,0,3,1,2
"373",0,24,40,2000,10.1,0.6,0,1,2,1
"374",0,24,28,1500,7.1,0.2,0,1,1,1
"375",0,23,20,2000,19.5,NA,0,1,1,2
"376",0,24,29,1600,4.5,5.5,0,2,2,1
"377",0,24,49,3000,26.3,2.1,2,3,2,1
"378",0,24,33,3200,0.9,15.3,0,3,1,1
"379",0,24,33,1800,7.5,17,2,3,2,1
"380",0,24,44,2000,8.5,22.2,0,3,1,1
"381",0,24,43,3000,6.5,11.5,3,3,2,1
"382",0,24,33,1000,1,12.1,0,3,2,1
"383",0,24,34,5000,0.1,3.9,2,3,2,1
"384",0,23,54,2000,32.6,NA,1,3,2,1
"385",0,23,25,2000,3.6,0.9,0,1,1,1
"386",0,23,38,3000,0.5,NA,1,3,2,1
"387",0,23,26,2000,3.4,3.4,0,2,2,2
"388",0,21,30,2000,0.4,4.6,0,3,3,2
"389",0,24,50,2000,23.4,34,0,3,2,1
"390",0,23,42,5000,13.5,19.4,2,1,2,1
"391",0,24,36,1000,16.1,8,0,3,1,1
"392",0,24,29,2500,0.5,6.1,0,3,2,1
"393",0,23,27,2000,1.6,9.8,0,1,2,1
"394",0,22,25,NA,1,4,0,3,1,2
"395",1,12,30,1050,2,0.8,0,3,3,1
"396",0,24,19,1000,19.9,1.3,0,3,1,2
"397",0,17,24,2000,24.9,6.4,0,1,1,2
"398",0,24,29,2000,3.8,10.9,0,3,1,1
"399",0,24,23,1000,0.6,4,2,1,2,2
"400",0,22,39,2000,7.1,8.1,1,3,3,1
"401",0,24,29,3000,6.9,6.9,1,3,2,2
"402",0,24,49,1000,2.3,11.6,0,3,2,1
"403",1,21,30,2000,2.1,13.2,0,1,2,2
